============================================================
[repair-train 1/5] old_shard=9 task=task_elections model=Qwen/Qwen3-32B
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_rft.json (3006 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_tfb.json (6012 rows)
[train] epoch=0 step=146/188 loss=0.2065 lr=4.34e-05 elapsed=525.0s
[train] epoch=0 step=147/188 loss=0.2987 lr=4.24e-05 elapsed=528.4s
[train] epoch=0 step=148/188 loss=0.2038 lr=4.14e-05 elapsed=534.7s
[train] epoch=0 step=149/188 loss=0.2558 lr=4.04e-05 elapsed=539.9s
[train] epoch=0 step=150/188 loss=0.2286 lr=3.94e-05 elapsed=544.7s
[train] epoch=0 step=151/188 loss=0.2079 lr=3.85e-05 elapsed=549.1s
[train] epoch=0 step=152/188 loss=0.2550 lr=3.76e-05 elapsed=555.0s
[train] epoch=0 step=153/188 loss=0.2812 lr=3.66e-05 elapsed=560.2s
[train] epoch=0 step=154/188 loss=0.2670 lr=3.58e-05 elapsed=564.9s
[train] epoch=0 step=155/188 loss=0.3190 lr=3.49e-05 elapsed=575.0s
[train] epoch=0 step=156/188 loss=0.2348 lr=3.41e-05 elapsed=579.8s
[train] epoch=0 step=157/188 loss=0.2763 lr=3.32e-05 elapsed=584.8s
[train] epoch=0 step=158/188 loss=0.1888 lr=3.24e-05 elapsed=589.7s
[train] epoch=0 step=159/188 loss=0.2563 lr=3.17e-05 elapsed=594.8s
[train] epoch=0 step=160/188 loss=0.2929 lr=3.09e-05 elapsed=599.6s
[train] epoch=0 step=161/188 loss=0.2246 lr=3.02e-05 elapsed=604.4s
[train] epoch=0 step=162/188 loss=0.2512 lr=2.95e-05 elapsed=609.5s
[train] epoch=0 step=163/188 loss=0.2823 lr=2.88e-05 elapsed=614.6s
[train] epoch=0 step=164/188 loss=0.2391 lr=2.82e-05 elapsed=619.8s
[train] epoch=0 step=165/188 loss=0.2432 lr=2.75e-05 elapsed=626.0s
